P,'h',1649941184.787328
R,'h',1649941184.907347
P,'e',1649941185.141855
R,'e',1649941185.290346
P,'l',1649941185.370253
R,'l',1649941185.484972
P,'l',1649941185.566859
R,'l',1649941185.679025
P,'o',1649941185.8799202
P,Key.space,1649941186.042997
R,'o',1649941186.06317
R,Key.space,1649941186.197639
P,'w',1649941186.3508759
P,'o',1649941186.486976
R,'w',1649941186.494251
P,'r',1649941186.6230242
R,'o',1649941186.642004
R,'r',1649941186.751137
P,'l',1649941186.799617
P,'d',1649941186.940085
R,'l',1649941187.003619
R,'d',1649941187.128458
P,Key.alt,1649941187.357294
R,Key.alt,1649941187.4290402
P,Key.alt,1649941187.5149188
R,Key.alt,1649941187.890483
P,Key.ctrl,1649941187.971456
P,'c',1649941188.508096
P,'c',1649993139.9817128
