P,'h',1649941190.091795
R,'h',1649941190.191853
P,'e',1649941190.47088
R,'e',1649941190.587199
P,'l',1649941190.6447392
R,'l',1649941190.768838
P,'l',1649941190.856808
R,'l',1649941190.981069
P,'o',1649941191.1796029
P,Key.space,1649941191.3194811
R,'o',1649941191.369122
R,Key.space,1649941191.467221
P,'u',1649941192.564847
R,'u',1649941192.685106
P,'n',1649941192.937022
R,'n',1649941193.0820239
P,'i',1649941193.395822
P,'v',1649941193.479163
R,'i',1649941193.567434
R,'v',1649941193.5839832
P,'e',1649941193.762666
R,'e',1649941193.922996
P,'r',1649941194.0205429
R,'r',1649941194.144897
P,'s',1649941194.311724
R,'s',1649941194.4359858
P,'e',1649941194.540695
R,'e',1649941194.657296
P,Key.ctrl,1649941194.9482272
P,'c',1649941195.342915
P,'c',1649993145.277767
